"";"program";"Timestamp";"ml";"ir";"stats";"db";"gender";"chocolate";"birthday";"neighbors";"stand";"stress";"gain";"rn";"bed_time";"good_day_1";"good_day_2"
"44";"QUANTITATIVE RISK MANAGEMENT";"3/29/2021 13:47:45";"no";"0";"mu";"nee";"female";"fat";NA;0;"no";60;NA;8;"0H 3M 0S ";"Getting all the work done that I've planned";"Seeing my friends and family"
"45";"ARTIFICIAL INTELLIGENCE";"3/29/2021 13:50:14";"yes";"1";"mu";"ja";"male";"fat";"04/04/1998";2;"no";55;NA;4;"1H 0M 0S";"music";"music"
"46";"BUSINESS ANALYTICS";"3/29/2021 13:53:03";"yes";"1";"mu";"nee";"male";"I have no idea what you are talking about";"24/06/1993";0;"no";78;0;NA;"20H 0M 0S";"Saturday";"Monday"
"47";"ARTIFICIAL INTELLIGENCE";"3/29/2021 13:53:38";"no";"0";"mu";"nee";"male";"I have no idea what you are talking about";"01/01/1997";0;"no";1;100;1;"2H 0M 0S";"food";"more food"
"48";"COMPUTER SCIENCE";"3/29/2021 13:56:26";"yes";"0";"mu";"nee";"male";"fat";"16/11/1995";0;"no";25;1;6;"1H 0M 0S";"Family";"Rice/Pasta for dinner"
"49";"LINGUISTICS";"3/29/2021 14:01:59";"yes";"1";"sigma";"nee";"female";"I have no idea what you are talking about";NA;0;"no";90;50;9;"22H 0M 0S";"sun ";"exercise"
"50";"ECONOMETRICS";"3/29/2021 14:07:33";"no";"0";"mu";"nee";"male";"fat";NA;2;"no";70;20;5;"11H 3M 0S";"Going out";"not working"
"51";"ECONOMETRICS";"3/29/2021 14:16:20";"yes";"unknown";"mu";"ja";"male";"fat";NA;0;"no";12;1;7;"23H 30M 0S";"No stress";"Holidays"
"52";"ECONOMETRICS";"3/29/2021 14:30:16";"yes";"0";"mu";"nee";"male";"neither";"06/10/1998";0;"unknown";31;NA;4;"22H 27M 0S";"Sun";"Sporting"
"53";"ARTIFICIAL INTELLIGENCE";"3/29/2021 14:32:57";"no";"0";"mu";"ja";"female";"neither";"20/11/1999";0;"no";35;10;10;"2H 30M 0S";"Free time";"Social activity"
"54";"ARTIFICIAL INTELLIGENCE";"3/29/2021 14:35:19";"yes";"1";"mu";"ja";"female";"fat";"15/11/1998";0;"no";80;5;9;"0H 20M 0S ";"Getting everything done that needed to be done";"Chilling in the sun"
"55";"ARTIFICIAL INTELLIGENCE";"3/29/2021 14:40:38";"yes";"0";"mu";"nee";"female";"neither";NA;2;"no";50;1;5;"2H 0M 0S";"Seeing friends and family that I love";"Calmth, positivity, learning/reading"
"56";"BUSINESS ANALYTICS";"3/29/2021 14:44:22";"yes";"1";"mu";"ja";"male";"fat";NA;2;"no";10;20;3;"22H 30M 0S";"nice weather";"walk on the beach"
"57";"FINANCE AND TECHNOLOGY";"3/29/2021 14:49:24";"yes";"0";"mu";"nee";"male";"fat";"28/01/1997";0;"no";0;20;2;"23H 0M 0S";"Soccer";"Sun"
"58";"BIOINFORMATICS";"3/29/2021 15:00:11";"yes";"0";"mu";"ja";"female";"fat";"03/02/1999";1;"no";75;10;NA;"23H 30M 0S";"When I have seen/spoken to my loved ones";"When I feel like my day has been productive but not too stresfull "
"59";"ARTIFICIAL INTELLIGENCE";"3/29/2021 15:03:24";"no";"0";"mu";"nee";"male";"fat";"20/09/1992";0;"no";100;1;NA;"5H 25M 0S";"Rest";"Nothing"
"60";"QUANTITATIVE RISK MANAGEMENT";"3/29/2021 15:04:18";"no";"0";"unknown";"nee";"male";"fat";"16/05/1996";1;"no";50;20;NA;"23H 30M 0S";"Efficiency";"Accomplishment"
"61";"ECONOMETRICS";"3/29/2021 15:05:38";"yes";"1";"mu";"ja";"male";"neither";NA;0;"yes";60;30;7;"22H 30M 0S";"8 hours of sleep";"Friendly people"
"62";"COMPUTER SCIENCE";"3/29/2021 15:35:37";"yes";"0";"mu";"unknown";"female";"neither";NA;1;"no";20;15;6;"3H 0M 0S";"swimming";"beer"
"63";"ARTIFICIAL INTELLIGENCE";"3/29/2021 15:41:09";"yes";"1";"mu";"ja";"female";"I have no idea what you are talking about";NA;0;"no";40;0;1;"3H 30M 0S";"a good night's sleep";"a relaxed morning"
"64";NA;"3/29/2021 16:23:33";"no";"0";"mu";"nee";"male";"neither";"09/09/1996";0;"no";77;5;4;"2H 0M 0S";"No work/free time";"Beautiful weather"
"65";"BIOINFORMATICS";"3/29/2021 16:35:14";"yes";"0";"mu";"nee";"male";"neither";NA;0;"no";15;99;NA;"0H 0M 0S  ";"Fun activities";"Good food"
"66";"FINANCE AND TECHNOLOGY";"3/29/2021 16:35:49";"yes";"0";"mu";"nee";"male";"fat";"15/08/1994";0;"no";60;20;8;"2H 0M 0S";"Warm weather";"enough food"
"67";"BUSINESS ANALYTICS";"3/29/2021 16:35:57";"yes";"1";"mu";"ja";"male";"fat";"27/10/1995";0;"no";60;1000;7;"23H 0M 0S";"Hanging out with friends";"watching sports"
"68";"ECONOMETRICS";"3/29/2021 16:46:51";"yes";"0";"mu";"nee";"male";"neither";"02/07/1998";0;"no";38;NA;NA;"1H 30M 0S";"Good breakfast";"Outdoor activity"
"69";"ECONOMETRICS";"3/29/2021 16:49:13";"yes";"0";"mu";"nee";"female";"neither";"01/02/1993";0;"no";30;10;NA;"23H 0M 0S";"Walking in the sun";"Eating good food"
"70";"COMPUTER SCIENCE";"3/29/2021 16:51:39";"no";"0";"mu";"unknown";"male";"slim";"10/05/1999";1;"no";5;1;5;"3H 0M 0S";"sleep";"people"
"71";"QUANTITATIVE RISK MANAGEMENT";"3/29/2021 17:35:57";"no";"0";"mu";"nee";"male";"neither";"22/09/1996";0;"no";50;1;NA;"0H 30M 0S ";"No Stress";"Be able to relax"
"72";"BUSINESS ANALYTICS";"3/29/2021 17:47:11";"yes";"0";"mu";"nee";"male";"fat";"13/12/1994";0;"no";35;10;7;"0M 3M 0S ";"If I completed all my tasks which I set for the day.";"When I have spoken with/seen at least some friends or relatives that day. "
"73";"ARTIFICIAL INTELLIGENCE";"3/29/2021 17:56:51";"yes";"0";"mu";"nee";"male";"neither";"05/01/1998";0;"no";0;NA;5;"22H 30M 0S";"Sun";"Food"
"74";"MEDICAL INFORMATICS";"3/29/2021 17:58:00";"yes";"1";"mu";"ja";"male";"fat";NA;0;"no";10;5;NA;"23H 0M 0S";"sport";"sun"
"75";"ARTIFICIAL INTELLIGENCE";"3/29/2021 18:02:48";"yes";"1";"mu";"ja";"male";"neither";"15/09/1999";0;"no";10;1;6;"1H 0M 0S";"No obligations";"A good night of sleep"
"76";"BUSINESS ANALYTICS";"3/29/2021 18:21:02";"yes";"0";"mu";"ja";"female";"fat";"01/07/1998";1;"no";40;50;NA;"22H 30M 0S";"A long walk outside";"Getting things done"
"77";"MATHEMATICS";"3/29/2021 19:01:05";"yes";"0";"mu";"ja";"female";"neither";NA;0;"no";60;10;7;"23H 0M 0S";"Sun";"Social contacts"
"78";"BUSINESS ANALYTICS";"3/29/2021 19:35:58";"yes";"unknown";"mu";"ja";"male";"fat";"22/10/1994";0;"no";60;1;NA;"23H 30M 0S";"Sun";"Tennis"
"79";"BUSINESS ANALYTICS";"3/29/2021 19:56:04";"yes";"0";"mu";"ja";"male";"neither";"23/02/1999";NA;"unknown";99;101;2;"NA  ";"Payday";"The day that I paid my rent and don't have a red valued bank account."
"80";"HUMAN LANGUAGE TECHNOLOGY";"3/29/2021 19:57:32";"yes";"0";"sigma";"ja";"male";"fat";"06/10/1995";0;"no";40;70;6;"0H 30M 0S ";"Nice weather and a run";"Playing music with friends"
"81";"BUSINESS ANALYTICS";"3/29/2021 20:04:52";"yes";"0";"mu";"unknown";"female";"fat";"20/01/1997";2;"no";80;50;8;"23H 40M 0S";"weather ";"Being with friends or family"
"82";"FINANCE AND TECHNOLOGY";"3/29/2021 20:09:38";"yes";"unknown";"unknown";"nee";"male";"fat";"03/12/1996";0;"no";20;NA;6;"23H 10M 0S";"sports";"good food"
"83";"ARTIFICIAL INTELLIGENCE";"3/29/2021 20:33:29";"yes";"0";"mu";"ja";"male";"fat";"22/02/1996";0;"unknown";10;20;1;"23H 0M 0S";"Sun";"Productivity"
"84";"BUSINESS ANALYTICS";"3/29/2021 20:53:49";"yes";"0";"mu";"nee";"male";"slim";"10/09/1998";0;"no";5;0;9;"0H 0M 0S  ";"Sport";"Progress towards a goal"
"85";"COMPUTATIONAL SCIENCE";"3/29/2021 21:09:39";"no";"0";"mu";"nee";"male";"neither";"21/03/1996";0;"no";31;0;3;"23H 59M 0S";"Sun";"Fun"
"86";"ECONOMETRICS";"3/29/2021 21:16:04";"yes";"unknown";"mu";"nee";"female";"fat";"02/06/1998";2;"no";41;37;NA;"23H 30M 0S";"Sunshine ";"Good food"
"87";"COMPUTATIONAL SCIENCE";"3/29/2021 21:23:01";"no";"1";"mu";"ja";"female";"fat";"26/03/1998";0;"no";85;5;NA;"0H 36M 0S ";"a nice meal";"the sun"
"88";"BUSINESS ANALYTICS";"3/29/2021 21:30:30";"yes";"0";"mu";"nee";"female";"neither";"17/09/1996";2;"no";60;60;7;"23H 15M 0S";"Sun";"Happy people/friends"
"89";"ARTIFICIAL INTELLIGENCE";"3/29/2021 21:53:06";"no";"0";"mu";"nee";"female";"neither";"16/12/1992";0;"no";85;5;9;"3H 0M 0S";"Day off";"Good company"
"90";"COMPUTATIONAL SCIENCE";"3/29/2021 21:57:42";"no";"0";"mu";"nee";"female";"neither";NA;0;"no";70;50;7;"0H 0M 0S  ";"sunny";"enough sleep"
"91";"ARTIFICIAL INTELLIGENCE";"3/29/2021 22:11:39";"no";"0";"mu";"ja";"male";"fat";"17/01/1996";3;"no";70;100;NA;"0H 30M 0S ";"get a good grade";"a sunny day"
"92";"COMPUTATIONAL SCIENCE";"3/29/2021 22:17:34";"no";"0";"mu";"nee";"male";"neither";"11/12/1994";0;"unknown";45;10;NA;"22H 15M 0S";"Talking and being around friends and loved ones";"When $GME goes up 69%      HODL ON"
"93";"ARTIFICIAL INTELLIGENCE";"3/29/2021 22:39:12";"yes";"1";"mu";"ja";"male";"I have no idea what you are talking about";"27/01/1996";0;"no";45;100;5;"2H 0M 0S";"productivity";"good food"
"94";"ARTIFICIAL INTELLIGENCE";"3/29/2021 22:50:20";"no";"0";"mu";"nee";"male";"neither";"17/09/1997";0;"no";30;0;1;"23H 30M 0S";"Good sleep";"Meet friends"
"95";"ARTIFICIAL INTELLIGENCE";"3/29/2021 22:58:34";"no";"unknown";"mu";"nee";"female";"fat";"04/04/1998";0;"no";65;1;10;"1H 0M 0S";"No stressing about deadlines";"Take a nice walk"
"96";"ARTIFICIAL INTELLIGENCE";"3/29/2021 22:58:38";"no";"0";"mu";"nee";"male";"fat";"15/01/1996";1;"no";25;50;8;"3H 0M 0S";"happy";"productive"
"97";"ARTIFICIAL INTELLIGENCE";"3/29/2021 23:02:41";"yes";"1";"mu";"ja";"male";"neither";"03/12/1997";0;"unknown";35;70;3;"1H 0M 0S";"good rest";"social"
"98";"BUSINESS ANALYTICS";"3/29/2021 23:03:17";"yes";"0";"mu";"ja";"female";"fat";"13/10/1998";0;"no";66;NA;7;"0H 30M 0S ";"Nice weather";"Being with my friends"
"99";"ARTIFICIAL INTELLIGENCE";"3/29/2021 23:24:53";"no";"1";"mu";"ja";"male";"fat";NA;0;"no";30;70;8;"1H 30M 0S";"Low stresslevels";"Hanging out with friends"
"100";"QUANTITATIVE RISK MANAGEMENT";"3/29/2021 23:27:11";"no";"0";"mu";"nee";"male";"fat";"08/10/1997";1;"no";0;0;NA;"2H 0M 0S";"Good food";"Good mood"
"101";"FINANCE AND TECHNOLOGY";"3/29/2021 23:32:18";"yes";"0";"mu";"nee";"male";"slim";"17/01/1996";0;"no";50;25;5;"3H 0M 0S";"Ice cream";"No deadlines for the subsequent days"
"102";"BUSINESS ANALYTICS";"3/29/2021 23:41:02";"yes";"0";"mu";"nee";"male";"neither";NA;0;"no";60;1;7;"0H 15M 0S ";"Enough sleep";"Good food"
"103";"ECONOMETRICS";"3/29/2021 23:53:22";"no";"0";"mu";"nee";"male";"I have no idea what you are talking about";"29/07/1997";0;"no";21;0,22;5;"22H 55M 0S";"wake up early, be productive and relax with friends in evening";"Learning something new"
"104";"COMPUTER SCIENCE";"3/30/2021 2:59:37";"no";"0";"sigma";"ja";"male";"neither";"02/05/1999";5;"no";75;0;7;"4H 0M 0S";"no stress";"good weather"
"105";"BIOINFORMATICS";"3/30/2021 3:36:10";"yes";"0";"mu";"ja";"male";"I have no idea what you are talking about";"07/07/1998";1;"no";65;0;NA;"5H 0M 0S";"1";"2"
"106";"QUANTITATIVE RISK MANAGEMENT";"3/30/2021 6:33:02";"no";"0";"mu";"ja";"male";"unknown";NA;0;"no";20;0;9;"7H 30M 0S";"no exams or deadlines";"plenty of sleep"
"107";"BIOINFORMATICS";"3/30/2021 8:20:19";"yes";"0";"mu";"nee";"male";"neither";NA;0;"no";80;1;4;"0H 0M 0S  ";"sunshine";"music"
"108";"COMPUTER SCIENCE";"3/30/2021 8:44:31";"yes";"1";"mu";"ja";"male";"neither";NA;1;"no";17;65;NA;"22H 45M 0S";"odd jobs";"sports"
"109";"RESEARCH MASTER HUMAN MOVEMENT SCIENCES (FGB)";"3/30/2021 9:16:58";"no";"0";"mu";"nee";"female";"neither";"08/07/1993";1;"no";10;0;8;"23H 15M 0S";"sun";"exercise"
"110";"COMPUTATIONAL SCIENCE";"3/30/2021 9:20:47";"no";"0";"mu";"ja";"male";"fat";NA;0;"yes";50;60;7;"1H 0M 0S";"no lecture";"beautiful scenery"
"111";"MATHEMATICS";"3/30/2021 9:22:43";"no";"0";"mu";"nee";"female";"fat";"27/11/1995";0;"no";67;2;7;"22H 45M 0S";"tea";"icecream"
"112";"BUSINESS ANALYTICS";"3/30/2021 9:30:43";"yes";"1";"mu";"ja";"unknown";"slim";"01/02/1997";0;"no";50;1;NA;"0H 0M 0S  ";"sun";"no deadlines"
"113";"ARTIFICIAL INTELLIGENCE";"3/30/2021 9:30:59";"yes";"0";"mu";"nee";"female";"I have no idea what you are talking about";"23/01/1998";1;"no";55;0;NA;"23H 0M 0S";"Playing sports";"Good food"
"114";"COMPUTER SCIENCE";"3/30/2021 9:40:31";"no";"1";"mu";"ja";"male";"fat";NA;0;"no";60;65;8;"23H 50M 0S";"Free time";"Being outside"
"115";"FINANCE AND TECHNOLOGY";"3/30/2021 9:44:01";"yes";"0";"mu";"nee";"female";"fat";"26/03/1999";0;"no";60;2;2;"22H 0M 0S";"Sun";"Success"
"116";"ARTIFICIAL INTELLIGENCE";"3/30/2021 9:48:32";"yes";"1";"sigma";"ja";"male";"neither";"01/12/1996";1;"no";50;63;NA;"23H 30M 0S";"Good weather";"No stress"
"117";"DATA SCIENCE";"3/30/2021 9:49:36";"yes";"0";"sigma";"nee";"male";"neither";"26/10/1990";0;"no";75;7;2;"23H 45M 0S";"sun";"cycling"
"118";"MEDICAL INFORMATICS";"3/30/2021 10:00:00";"yes";"0";"mu";"nee";"female";"fat";"01/06/1997";0;"no";75;20;8;"22H 30M 0S";"The sun shines";"Meeting with friends"
"119";"ECONOMETRICS";"3/30/2021 10:07:28";"no";"0";"mu";"nee";"female";"neither";"02/01/1997";1;"no";60;1;7;"23H 30M 0S";"Good weather";"Good sleep the prior day"
"120";"ARTIFICIAL INTELLIGENCE";"3/30/2021 10:09:56";"yes";"1";"mu";"nee";"male";"fat";"26/01/1999";0;"no";20;1;NA;"22H 19M 0S";"good night sleep";"nice food"
"121";"ARTIFICIAL INTELLIGENCE";"3/30/2021 10:13:11";"yes";"1";"mu";"nee";"male";"unknown";"05/07/1995";0;"no";50;0,2;8;"22H 30M 0S";"Sun";"25 degrees celsius"
"122";"COMPUTER SCIENCE";"3/30/2021 10:31:21";"no";"0";"mu";"ja";"female";"neither";"14/01/1996";0;"no";77;70;3;"23H 0M 0S";"coffee";"fulfill the plan"
"123";"COMPUTER SCIENCE";"3/30/2021 10:32:04";"yes";"1";"mu";"ja";"male";"fat";"28/08/1998";0;"yes";30;NA;NA;"0H 0M 0S  ";"Sleeping well";"Having a walk with my dog"
"124";"FINANCE AND TECHNOLOGY";"3/30/2021 10:36:55";"yes";"0";"sigma";"nee";"male";"neither";"28/12/1998";0;"yes";10;5;NA;"23H 54M 0S";"Sun shining";"Chatting with friends"
"125";"COMPUTER SCIENCE";"3/30/2021 10:37:05";"yes";"1";"mu";"ja";"male";"fat";"28/08/1998";0;"yes";30;10;2;"0H 0M 0S  ";"Sleeping well";"Having a walk with my dog"
"126";"FINANCE AND TECHNOLOGY";"3/30/2021 10:39:11";"yes";"1";"mu";"nee";"male";"fat";"03/05/1995";1;"no";15;10;NA;"23H 30M 0S";"Sun";"Beer"
"127";"BIOINFORMATICS";"3/30/2021 10:45:18";"yes";"0";"unknown";"nee";"female";"slim";"08/05/1994";4;"no";20;20;8;"23H 0M 0S";"if the sun is shinning";"Something adventurous took place"
"128";"BUSINESS ANALYTICS";"3/30/2021 10:49:39";"yes";"1";"mu";"ja";"male";"fat";"01/03/1995";0;"no";40;5;2;"23H 15M 0S";"Good stock returns";"Getting high grades back"
"129";"BUSINESS ANALYTICS";"3/30/2021 10:49:50";"yes";"1";"mu";"ja";"male";"fat";"17/12/1998";0;"no";10;3;4;"22H 30M 0S";"Zoom meeting";"Teams meeting"
"130";"BUSINESS ANALYTICS";"3/30/2021 10:53:15";"yes";"unknown";"mu";"ja";"male";"neither";"27/08/1997";0;"unknown";60;1;3;"21H 0M 0S";"Good weather";"Exercise"
"131";"COMPUTATIONAL SCIENCE";"3/30/2021 10:53:49";"no";"0";"mu";"ja";"female";"fat";"19/04/1997";1;"no";40;100;3;"23H 0M 0S";"drinking cola zero";"sunny weather"
"132";"ARTIFICIAL INTELLIGENCE";"3/30/2021 10:55:13";"no";"0";"mu";"nee";"male";"neither";"15/01/1996";0;"no";70;5;5;"0H 15M 0S ";"Sun outside and no wind";"Playing basketball"
"133";"ARTIFICIAL INTELLIGENCE";"3/30/2021 10:55:42";"no";"0";"mu";"nee";"female";"neither";"29/09/1996";0;"no";50;20;2;"14H 0M 0S";"The sun";"Friends"
"134";"COMPUTER SCIENCE";"3/30/2021 10:55:44";"no";"0";"mu";"nee";"male";"fat";"0000-01-01";0;"no";NA;110;9;"1H 30M 0S";"pizza";"sleeping in"
"135";"ARTIFICIAL INTELLIGENCE";"3/30/2021 10:58:12";"yes";"0";"mu";"nee";"female";"neither";"11/12/1995";0;"no";30;12;NA;"21H 45M 0S";"Sun";"Good sleep"
"136";"ECONOMETRICS";"3/30/2021 10:58:32";"yes";"0";"mu";"ja";"female";"I have no idea what you are talking about";"05/06/1996";1;"no";70;20;7;"22H 45M 0S";"When the sun is shining ";"Good night sleep "
"137";"COMPUTER SCIENCE";"3/30/2021 11:03:33";"yes";"1";"mu";"ja";"male";"unknown";"23/01/1999";3;"no";32;99,99;4;"23H 39M 0S";"A nice suprise";"A feeling of contentness"
